编号,企业名称,职位描述
27902,苏州苏试试验集团股份有限公司,工作/职责/：/1/./标书/的/制作/。/2/./负责/销售/订单/的/跟踪/，/跟进/，/负责/销售/合同/及/其他/文件/资料/的/管理/和/归纳/；/3/./协助/销售/人员/做好/客户/的/接待/和/来访/；/4/./负责/售前/资料/的/收集/，/整理/等/。/5/./负责/完成/其他/内务/工作/。/任职/要求/：/1/./做事/认真/，/细心/，/负责/；/2/./熟练/使用/基本/办公/软件/；/3/./具有/服务/意识/，/能/适应/较大/的/工作/压力/；/4/./学习/能力/强/，/积极进取/。/沟通/协调/能力/强/，/有/团队/合作/意识/。
20014,江苏中设集团股份有限公司,岗位职责/：/1/、/牵头/开展/低空/空域/规划/、/空域/资源/优化/配置/、/低空飞行/路径/规划/等/核心/研究/，/构建/适配/低空/经济/场景/的/规划/理论/与/技术/体系/；/2/、/负责/低空/空域/相关/算法/研发/，/包括/空域/划分算法/、/飞行/冲突检测/与/规避/算法/、/流量/调度/优化/算法/等/，/结合/大/数据模型/实现/算法/迭代/升级/；/3/、/整合/低空飞行/数据/、/地理/空间数据/、/气象/数据/等/多源/数据/，/搭建/低空/空域/大/数据分析/模型/，/为/空域/规划/决策/、/低空/经济/产业布局/提供/技术/支撑/；/4/、/参与/相关/科研项目/申报/与/实施/，/撰写/高质量/学术论文/、/技术/报告/及/专利申请/文件/；/5/、/协同/跨/领域/团队/开展/技术/攻关/，/推动/科研成果/转化/与/落地/应用/，/参与/行业/技术标准/研讨/制定/。/任职/要求/：/1/、/具有/博士学位/，/交通运输/工程/、/交通运输/、/航空运输/等/相关/专业/，/应届/博士/或/有/相关/科研///工作/经历者/均/可/；/2/、/熟悉/低空/空域/管理/政策/、/飞行/管制/规则/或/空域/规划/理论/，/有/低空/经济/、/无人机/路径/规划/、/空管/算法/相关/研究/经验者/优先/；/3/、/具备/扎实/的/算法/研发/能力/，/熟练掌握/至少/1/种/编程语言/（/Python/、/C++/、/Java/等/）/，/精通/机器/学习/、/深度/学习/、/强化/学习/等/算法/原理/及/应用/；/4/、/具备/大/数据模型/构建/与/应用/能力/，/熟悉/大/数据处理/技术/（/Hadoop/、/Spark/等/）/、/数据挖掘/方法/及/可视化/工具/，/能/独立/完成/多源/数据/整合/、/建模/与/分析/；/5/、/具有/较强/的/自主/科研/能力/、/创新/思维/与/学术/素养/，/已/在/相关/领域/发表/过/高水平/学术论文/（/SCI///EI检索/）/或/拥有/核心/专利者/优先/；/（/来自/马克/数据网/）
36967,富乐德科技发展（大连）有限公司,【/工作/内容/】/-/负责/半导体/设备/部件/的/清洗/，/对/生产/现场/提供/技术支持/；/-/协助/完成/客户/现场/的/安装/、/维护/及/故障/排查/；/-/记录/并/反馈/现场/问题/，/协助/优化/产品/性能/。/【/任职/要求/】/-/具备/良好/的/沟通/能力/和/责任心/；/-/有/较/强/的/学习/能力/，/能/快速/掌握/相关/技术/知识/。
35820,深圳市湾区智联技术服务有限公司,"岗位职责/：/1/./负责/主持/部门/全面/工作/；/2/./负责/制定/部门/年度/工作/计划/，/并/监督/实施/；/3/./统筹/消费级/无人机/、/工业级/无人机/、/直升机/、/飞行/汽车/、/Evtol/等/0/-/600m/范围/内/的/低空飞行/测试/及/滑翔伞/飞行/训练/、/飞手/培训/工作/；/4/./负责/与/整机/飞行/测试/、/核心/零部件/等/第三方/低空/测试/测验/单位/对接/协调/，/保障/提供/更好/的/低空/测试/服务/；/5/./掌握/低空/物理/基础设施/及/信息/基础设施/的/工作/状况/，/出现/状况/及时/报修/。/6/./负责/统筹/管理/公司/低空/及/数据/等/方面/的/工作/；/7/./完成/上级领导/交办/的/其他/工作/。/任职/要求/：/1/./具有/10/年/以上/交通/或/相关/行业/工作/经验/优先/；/2/./拥有/高级职称/或/以上/优先/；/3/./具备/良好/的/沟通/和/学习/能力/,/能够/理解/客户/需求/；/4/./掌握/低空飞行/测试/的/基本/需求/；/5/./了解/低空/起降/场/、/通导监/等/基础设施/的/功能/及/重要性/；/6/./有/一定/的/团队/管理/能力/,/负责/团队/的/方向/把握/。/搜索/马/克/数/据/网"
34502,华中信测标准技术服务（湖北）有限公司,岗位职责/：/1/、/负责/按照/标准/要求/，/完成/检测/实验/工作/。/包括/制定/测试/技术/方案/，/解决/技术难题/，/按/要求/填写/相关/技术/记录/，/测试/过程/、/原始记录/复核/；/2/、/部分/人员/涉及/工装/夹具/设计/、/图纸/的/审核/确认/，/对/不/符合/的/要求/提出/整改/方案/，/并/进行/验收/工作/；/3/、/协助/上级/主管/对/仪器/、/设备/或/工具/进行/管理/。/包括/点检/、/维护/保养/、/期间/核查/、/内部/检查/、/计量/参数/和/校准/结果/确认/等/工作/；/4/、/按/样品/管理制度/协助/样品/管理员/完成/样品/及/工装/夹具/的/接收/、/入库/出库/、/还库/、/退样/、/报废/等/工作/；/5/、/完成/内外部/质量/控制/活动/和/质量/监督/活动/，/并/提交/相关/记录/。/任职/条件/：/1/、/大专/及/以上学历/，/机械制造///机电///自动化/等/理工科/专业/优先/；/2/、/具有/汽车/整车/企业/、/汽车/零部件/生产/企业/检测/实验室/工作/经验者/优先/考虑/；/3/、/了解/汽车/构造/及/汽车/第三方/检测/流程者/优先/考虑/；/4/、/接触/过/汽车/零部件/检测/设备/、/软件/或/熟悉/对应/的/检测/标准/方法/优先者/优先/考虑/；/5/、/可/使用/SolidWorks/或/CATIA者/优先/考虑/。/6/、/可/接受/优秀/应届/毕业生/。/福利待遇/：/周一/至/周五/：/8/:/30/-/12/:/00/13/:/00/-/17/:/30/，/周末/双休/。/入职/即/缴纳/五险/一金/，/享受/餐补/，/本/公司/不/包吃/住/。
24688,上海建中医疗器械包装股份有限公司,【/工作/内容/】/-/负责/公司/各类/广告/项目/的/创意/策划/与/执行/方案/制定/；/-/协同/设计/、/市场/团队/完成/广告/内容/的/创意/构思/与/优化/；/-/分析/市场趋势/及/用户/需求/，/提出/有/竞争力/的/广告/策略/；/-/跟进/广告投放/效果/，/进行/数据分析/与/总结/，/持续/优化/策划/方案/。/【/任职/要求/】/-/本科/及/以上学历/，/广告/、/市场营销/、/传播/等/相关/专业/优先/；/-/1/-/3/年/广告/策划/或/相关/工作/经验/，/具备/良好/的/创意/能力/和/执行力/；/-/熟悉/广告/策划/流程/，/了解/市场动态/及/消费者/心理/；/-/具备/较强/的/文字/表达能力/与/沟通/协调/能力/，/能/独立/完成/策划/方案/。
20830,科瑞自动化技术（苏州）有限公司,1/./配合/市场/及/计划/按时/完成/加工/零件/检测/，/并/填写/出货/报告/。/2/./反馈/生产/不/合格/情况/，/追踪/纠正/措施/实施/状况/。/3/./对于/工程/判定/可/接受/零件/进行/持续/追踪/，/确认/零件/符合/客户/要求/。/岗位/要求/：/1/，/1/年/以上/机械行业/零件/检验/工作/经验/，/熟读/机械/图纸/，/熟练/使用/常规/量具/，/会/使用/蔡司/三/坐标/优先/考虑/。/2/，/熟练掌握/机械制图/基础/，/会/使用/各种/尺寸/测量/工具/和/仪器/。/3/，/中专/以上学历/，/机械/专业/优先
85595,厦门思泰克智能科技股份有限公司,"岗位职责/：/./检测/设备/主流程/控制/；/./检测/程序/可视化/，/使用/GDI绘制/检测/程序/；/./配合/开发/团队/完成/整个/产品/的/开发/，/测试/算法/流控制/、/检测/数据/输出/；/./检测/光源/、/外设/通讯/，/进行/错误处理/、/运动/控制/协调/处理/；/./对/测试数据/进行/整合/。/任职/要求/1/、/计算机相关/专业本科/，/从事/Qt/开发/4/年/以上/，/能/深入/理解/Qt/内部/机制/，/有/Qt6/的/开发/经验/；/2/、/熟练掌握/C///C++/编程语言/及/常见/编程/模型/，/熟悉/面向对象/的/编程/思想/，/有/良好/的/编码/风格/；/3/、/熟练/使用/Windows/,/Linux///Unix/平台/的/C///C++/开发/与/调试/工具/；/4/、/精通/Qt/应用/程序开发/，/熟练掌握/Qt/库/各/控件/使用/及/架构/；/5/、/有/较/强/的/解决问题/能力/、/学习/能力/、/逻辑思维/能力/及/创新能力/，/有/良好/的/团队/协作/意识/。"
18650,浙江中坚科技股份有限公司,【/工作/内容/】/-/负责/产品/制造/工艺/的/设计/、/开发/与/优化/，/确保/生产流程/高效/运行/。/-/分析/生产/数据/，/识别/并/解决/生产/过程/中/的/工艺/问题/，/提升/产品质量/和/生产/效率/。/-/参与/新/产品/的/研发/工作/，/从/工艺/角度/提出/改进/建议/，/确保/新/产品/顺利/投产/。/-/编制/及/维护/工艺/文件/，/包括/但/不/限于/作业/指导书/、/工艺流程/图/等/，/确保操作/人员/能够/准确/执行/。/-/与/跨部门/团队/紧密/合作/，/如/质量/控制/、/生产/计划/等/部门/，/共同/推动/项目/进展/。/-/定期/进行/工艺/评估/，/识别/潜在/风险/并/提出/预防措施/，/保障/生产/安全/。/【/任职/要求/】/-/具备/3/年/及/以上/相关/行业/工艺/工程/或/制造/工程/领域/的/工作/经验/。/-/大专/及/以上学历/，/机械工程/、/工业/工程/或/相关/专业/背景/优先/。/-/熟练掌握/CAD/或/其他/制图/软件/，/能够/独立/完成/工艺/图纸/绘制/。/-/良好/的/数据分析/能力/，/能/有效/利用/数据/支持/决策/。/-/具备/良好/的/沟通/协调/能力/和/团队/合作/精神/，/能够/适应/快节奏/的/工作/环境/。/-/对/生产工艺/有/深入/理解/，/熟悉/常用/材料/特性/及/加工/方法/。/-/具备/较强/的/学习/能力/和/创新/意识/，/愿意/接受/新/技术/、/新理念/。
93384,山东盈科杰数码科技有限公司,岗位职责/:/1/./主要/负责/北京/及/周边/区域/数码/喷墨/印刷/设备/的/安装/、/调试/和/售后/技术支持/服务/等/工作/；/2/./定期/参加/公司/组织/的/技术培训/，/不断/提高/个人/的/技术/、/技能/；/3/./完成/领导/交于/的/其它/工作/任务/。/任职/资格/：/1/./大专/及/以上学历/；/2/./可/接受/全国性/高频/次/出差/；/3/./3/年/以上/相关/售后/机械/、/机电/安装/、/维修/经验/；/4/./印刷/工程/、/机械制造/、/自动化/等/相关/专业/优先/考虑/；/5/./工作/认真/、/有/责任心/，/有/良好/的/沟通/能力/和/服务/精神/，/热爱/学习/。
